sample_id,script,code_points,utf16_code_units,utf8_bytes,utf16_bytes,utf32_bytes,utf8_bytes_per_code_point
ascii-basic,"Latin (ASCII)",13,13,13,26,52,1.00
latin1-accented,"Latin-1 accented",27,27,32,54,108,1.19
latin-extended,"Latin extended",25,25,32,50,100,1.28
greek,"Greek",14,14,27,28,56,1.93
cyrillic,"Cyrillic",15,15,28,30,60,1.87
hebrew,"Hebrew (RTL)",9,9,17,18,36,1.89
arabic,"Arabic (RTL)",13,13,25,26,52,1.92
devanagari,"Devanagari (Hindi)",13,13,37,26,52,2.85
thai,"Thai",12,12,36,24,48,3.00
cjk-chinese,"Chinese (Han)",5,5,15,10,20,3.00
cjk-japanese,"Japanese (mixed)",7,7,21,14,28,3.00
cjk-korean,"Korean (Hangul)",8,8,22,16,32,2.75
emoji-basic,"Emoji",3,6,12,12,12,4.00
emoji-zwj,"Emoji (ZWJ family)",7,11,25,22,28,3.57
emoji-flag,"Emoji (flag)",2,4,8,8,8,4.00
mixed,"Mixed scripts + emoji",13,14,25,28,52,1.92
