platform,placement,width_px,height_px,aspect_ratio,measured_date,notes
Instagram,Profile picture,320,320,1:1,2026-07,displays as circle
Instagram,Post (square),1080,1080,1:1,2026-07,
Instagram,Post (portrait),1080,1350,4:5,2026-07,max feed height
Instagram,Post (landscape),1080,566,1.91:1,2026-07,
Instagram,Story / Reel,1080,1920,9:16,2026-07,
Facebook,Profile picture,320,320,1:1,2026-07,displays as circle
Facebook,Cover photo,820,312,2.63:1,2026-07,safe area smaller on mobile
Facebook,Shared post / link image,1200,630,1.91:1,2026-07,same as Open Graph
Facebook,Story,1080,1920,9:16,2026-07,
X (Twitter),Profile picture,400,400,1:1,2026-07,displays as circle
X (Twitter),Header,1500,500,3:1,2026-07,
X (Twitter),In-stream image,1600,900,16:9,2026-07,single image
X (Twitter),Summary card (large),1200,628,1.91:1,2026-07,twitter:image
LinkedIn,Profile picture,400,400,1:1,2026-07,
LinkedIn,Personal cover,1584,396,4:1,2026-07,
LinkedIn,Company logo,300,300,1:1,2026-07,
LinkedIn,Company cover,1128,191,5.9:1,2026-07,
LinkedIn,Shared post image,1200,627,1.91:1,2026-07,
YouTube,Channel avatar,800,800,1:1,2026-07,
YouTube,Channel banner,2560,1440,16:9,2026-07,safe area 1546×423 centred
YouTube,Video thumbnail,1280,720,16:9,2026-07,min 640 wide
TikTok,Profile picture,200,200,1:1,2026-07,
TikTok,Video,1080,1920,9:16,2026-07,
Pinterest,Profile picture,165,165,1:1,2026-07,
Pinterest,Standard pin,1000,1500,2:3,2026-07,recommended ratio
Open Graph,og:image (all sites),1200,630,1.91:1,2026-07,min 200×200; <8 MB
